writedaytime,devdata1,devdata2,devdata3,devdata4
2014-01-01 00:00:00,4.12,1.129,0.0,0.0
2014-01-01 00:05:00,4.075,1.129,0.0,0.0
2014-01-01 00:10:00,4.05,1.129,0.0,0.0
2014-01-01 00:15:00,4.02,1.129,0.0,0.0
2014-01-01 00:20:00,3.9850000000000003,1.129,0.0,0.0
2014-01-01 00:25:00,3.9466666666666668,1.129,0.0,0.0
2014-01-01 00:30:00,3.92,1.129,0.0,0.0
2014-01-01 00:35:00,3.8800000000000003,1.129,0.0,0.0
2014-01-01 00:40:00,3.8449999999999998,1.129,0.0,0.0
2014-01-01 00:45:00,3.82,1.129,0.0,0.0
2014-01-01 00:50:00,3.7899999999999996,1.129,0.0,0.0
2014-01-01 00:55:00,3.75,1.129,0.0,0.0
2014-01-01 01:00:00,3.7100000000000004,1.129,0.0,0.0
2014-01-01 01:05:00,3.675,1.129,0.0,0.0
2014-01-01 01:10:00,3.6500000000000004,1.129,0.0,0.0
2014-01-01 01:15:00,3.6199999999999997,1.129,0.0,0.0
2014-01-01 01:20:00,3.575,1.129,0.0,0.0
2014-01-01 01:25:00,3.5300000000000002,1.129,0.0,0.0
2014-01-01 01:30:00,3.4966666666666666,1.129,0.0,0.0
2014-01-01 01:35:00,3.455,1.129,0.0,0.0
2014-01-01 01:40:00,3.42,1.129,0.0,0.0
2014-01-01 01:45:00,3.3833333333333333,1.129,0.0,0.0
2014-01-01 01:50:00,3.34,1.129,0.0,0.0
2014-01-01 01:55:00,3.3033333333333332,1.1286666666666667,0.0,0.0
2014-01-01 02:00:00,3.2699999999999996,1.129,0.0,0.0
2014-01-01 02:05:00,3.2300000000000004,1.129,0.0,0.0
2014-01-01 02:10:00,3.186666666666667,1.129,0.0,0.0
2014-01-01 02:15:00,3.1550000000000002,1.129,0.0,0.0
2014-01-01 02:20:00,3.1166666666666667,1.129,0.0,0.0
2014-01-01 02:25:00,3.08,1.129,0.0,0.0
2014-01-01 02:30:00,3.05,1.129,0.0,0.0
2014-01-01 02:35:00,3.0233333333333334,1.129,0.0,0.0
2014-01-01 02:40:00,2.9850000000000003,1.129,0.0,0.0
2014-01-01 02:45:00,2.965,1.129,0.0,0.0
2014-01-01 02:50:00,2.9233333333333333,1.129,0.0,0.0
2014-01-01 02:55:00,2.88,1.129,0.0,0.0
2014-01-01 03:00:00,2.865,1.129,0.0,0.0
2014-01-01 03:05:00,2.84,1.129,0.0,0.0
2014-01-01 03:10:00,2.8,1.129,0.0,0.0
2014-01-01 03:15:00,2.776666666666667,1.1293333333333333,0.0,0.0
2014-01-01 03:20:00,2.75,1.129,0.0,0.0
2014-01-01 03:25:00,2.72,1.129,0.0,0.0
2014-01-01 03:30:00,2.6966666666666668,1.129,0.0,0.0
2014-01-01 03:35:00,2.67,1.129,0.0,0.0
2014-01-01 03:40:00,2.6533333333333333,1.129,0.0,0.0
2014-01-01 03:45:00,2.63,1.129,0.0,0.0
